Warehouse ID,Customer ID,Binary Value
1,1,1
1,2,0
1,3,1
1,4,0
1,5,0
1,7,0
1,8,1
1,9,1
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,1
1,16,0
1,17,0
1,18,1
1,19,0
1,20,1
1,21,1
1,6,0
1,22,0
1,23,1
1,24,0
1,25,0
1,26,1
1,27,1
1,28,0
1,29,1
1,30,1
1,31,1
1,32,1
1,33,0
1,34,1
1,35,1
1,36,0
1,37,1
1,38,1
1,39,1
1,77,1
1,40,0
1,41,0
1,42,0
1,43,1
1,149,0
1,44,0
1,45,0
1,46,0
1,47,1
1,48,1
1,49,0
1,51,0
1,50,0
1,52,0
1,53,0
1,54,1
1,55,0
1,56,0
1,57,0
1,58,1
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,1
1,70,1
1,71,1
1,72,0
1,73,0
1,74,0
1,75,0
1,76,0
1,78,0
1,79,0
1,80,1
1,81,1
1,82,0
1,83,0
1,84,0
1,85,1
1,86,1
1,87,1
1,88,0
1,89,0
1,90,1
1,91,0
1,92,0
1,93,0
1,94,0
1,95,1
1,96,0
1,97,0
1,98,0
1,99,0
1,100,1
1,101,0
1,102,0
1,103,0
1,104,1
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,1
1,111,0
1,112,0
1,113,0
1,114,1
1,115,0
1,116,1
1,117,1
1,119,0
1,121,1
1,118,1
1,120,1
1,122,1
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0
1,136,0
1,137,1
1,138,0
1,140,1
1,141,0
1,142,1
1,143,0
1,144,0
1,146,0
1,145,0
1,147,1
1,148,1
1,150,0
1,151,1
1,152,0
1,153,1
1,154,1
1,155,0
1,156,1
1,157,0
1,158,0
1,159,0
1,160,0
1,161,0
1,139,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,1
1,171,0
1,172,0
1,173,0
1,174,0
1,175,0
1,178,0
1,176,0
1,177,1
1,179,0
1,180,0
1,181,0
1,182,1
1,183,0
1,184,0
1,185,0
1,186,0
1,187,1
1,188,1
1,189,0
1,190,0
1,191,0
1,192,0
1,193,1
1,194,0
1,195,1
1,196,1
1,197,0
1,198,1
1,199,1
1,200,1
2,1,1
2,2,0
2,3,1
2,4,0
2,5,0
2,7,1
2,8,1
2,9,1
2,10,1
2,11,0
2,12,1
2,13,1
2,14,0
2,15,1
2,16,1
2,17,0
2,18,1
2,19,0
2,20,0
2,21,1
2,6,0
2,22,0
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,0
